"Monthly Climate Statistics for 'HOBART (ELLERSLIE ROAD)' [094029]"
"Created on [ 03 Dec 2025 14:27:21 UTC]"

"094029 HOBART (ELLERSLIE ROAD)"
"Commenced: 1882"
"Last Record: 2025"
"Latitude:   42.89 Degrees South"
"Longitude:  147.33 Degrees East"
"Elevation:      51 m"
"State: TAS"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (°C) for years 1882 to 2025 ",21.8,21.8,20.3,17.4,14.6,12.1,11.8,13.2,15.2,17.0,18.8,20.4,17.0,137,1882,2025
"Highest temperature (°C) for years 1882 to 2025 ",41.8,40.1,39.1,32.3,25.7,20.6,22.1,24.5,31.0,34.6,36.8,40.8,41.8,133,1882,2025
"Date of Highest temperature  °C  for years 1882 to 2025 ",04 Jan  2013,12 Feb  1899,02 Mar  2019,03 Apr  2021,01 May  1997,01 Jun  1907,06 Jul  1901,26 Aug  1977,27 Sep  1987,31 Oct  1987,21 Nov  2019,30 Dec  2019,04 Jan  2013,N/A,1882,2025
"Lowest maximum temperature (°C) for years 1882 to 2025 ",11.1,9.6,8.9,7.7,6.1,4.3,4.7,5.5,6.1,6.0,8.4,10.2,4.3,133,1882,2025
"Date of Lowest maximum temperature  °C  for years 1882 to 2025 ",26 Jan  1885,23 Feb  1964,22 Mar  1925,25 Apr  1967,25 May  1921,18 Jun  1985,22 Jul  1888,04 Aug  1974,06 Sep  1905,23 Oct  1958,01 Nov  1885,12 Dec  1964,18 Jun  1985,N/A,1882,2025
"Decile 1 maximum temperature (°C) for years 1882 to 2025 ",16.7,16.8,15.5,13.0,10.9,8.9,8.9,9.8,11.1,12.4,13.9,15.7, ,130,1882,2025
"Decile 9 maximum temperature (°C) for years 1882 to 2025 ",28.1,27.6,25.9,22.2,18.3,15.4,14.8,16.6,19.4,22.2,24.6,26.1, ,130,1882,2025
"Mean number of days >= 30 °C for years 1882 to 2025 ",1.9,1.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,1.2,6.4,133,1882,2025
"Mean number of days >= 35 °C for years 1882 to 2025 ",0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,1.2,133,1882,2025
"Mean number of days >= 40 °C for years 1882 to 2025 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133,1882,2025
"Mean minimum temperature (°C) for years 1882 to 2025 ",12.1,12.1,11.0,9.0,7.0,5.2,4.6,5.3,6.5,7.8,9.4,10.9,8.4,143,1882,2025
"Lowest temperature (°C) for years 1882 to 2025 ",3.3,3.4,1.8,0.7,-1.6,-2.8,-2.8,-1.8,-0.8,0.0,1.7,3.3,-2.8,139,1882,2025
